date,price
2012-08-26,8.14
2012-09-02,8.82
2012-09-09,9.05
2012-09-16,9.05
2012-09-23,9.11
2012-09-30,8.96
2012-10-07,9.06
2012-10-14,8.92
2012-10-21,8.7
2012-10-28,8.44
2012-11-04,8.54
2012-11-11,9.03
2012-11-18,9.14
2012-11-25,9.62
2012-12-02,9.73
2012-12-09,9.63
2012-12-16,9.6
2012-12-23,9.63
2012-12-30,9.72
2013-01-06,10.19
2013-01-13,10.01
2013-01-20,10.05
2013-01-27,9.82
2013-02-03,9.56
2013-02-10,8.93
2013-02-17,8.63
2013-02-24,8.27
2013-03-03,7.86
2013-03-10,7.75
2013-03-17,8.06
2013-03-24,8.68
2013-03-31,9.06
2013-04-07,9.09
2013-04-14,6.61
2013-04-21,6.15
2013-04-28,5.61
2013-05-05,4.99
2013-05-12,6.83
2013-05-19,6.28
2013-05-26,5.52
2013-06-02,5.4
2013-06-09,6.5
2013-06-16,7.56
2013-06-23,7.57
2013-06-30,7.06
2013-07-07,7.08
2013-07-14,6.82
2013-07-21,7.52
2013-07-28,8.39
2013-08-04,8.66
2013-08-11,8.8
2013-08-18,8.49
2013-08-25,8.34
2013-09-01,7.99
2013-09-08,7.55
2013-09-15,7.84
2013-09-22,8.66
2013-09-29,8.74
2013-10-06,8.91
2013-10-13,9.07
2013-10-20,8.99
2013-10-27,9.02
2013-11-03,8.96
2013-11-10,8.9
2013-11-17,9.22
2013-11-24,9.41
2013-12-01,9.43
2013-12-08,9.18
2013-12-15,8.91
2013-12-22,8.68
2013-12-29,7.91
2014-01-05,7.59
2014-01-12,6.84
2014-01-19,6.21
2014-01-26,7.1
2014-02-02,6.82
2014-02-09,6.05
2014-02-16,4.55
2014-02-23,5.48
2014-03-02,7.13
2014-03-09,6.59
2014-03-16,6.14
2014-03-23,7.44
2014-03-30,9.25
2014-04-06,9.56
2014-04-13,9.29
2014-04-20,9.47
2014-04-27,10.36
2014-05-04,11.64
2014-05-11,12.41
2014-05-18,13.25
2014-05-25,13.4
2014-06-01,12.12
2014-06-08,11.44
2014-06-15,11.59
2014-06-22,12.15
2014-06-29,12.19
2014-07-06,12.1
2014-07-13,11.41
2014-07-20,10.76
2014-07-27,10.42
2014-08-03,10.39
2014-08-10,10.44
2014-08-17,10.81
2014-08-24,11.56
2014-08-31,11.3
