date,T,RH,CO2,NH3
2022/1/12 20:00,5.2,73.22666667,579.63666667,0
2022/1/12 20:15,5.226666667,72.47333333,550.4666667,0
2022/1/12 20:30,4.953333333,73.16666667,519.4666667,0
2022/1/12 20:45,5.273333333,72.52,508.4666667,0
2022/1/12 21:00,5.36,71.48,490.6,0
2022/1/12 21:15,5.326666667,72.3,490.6666667,0
2022/1/12 21:30,5.573333333,76.2,601.9333333,0
2022/1/12 21:45,5.32,73.82666667,616.9333333,0
2022/1/12 22:00,5.166666667,70.26,485.4,0
2022/1/12 22:15,5.046666667,70.32,455.8666667,0
2022/1/12 22:30,4.806666667,72.94666667,456.8666667,0
2022/1/12 22:45,4.806666667,75.1,456.1333333,0
2022/1/12 23:00,4.74,77.24666667,442.1333333,0
2022/1/12 23:15,4.426666667,78.71333333,438.6,0
2022/1/12 23:30,4.06,80.33333333,443.0666667,0
2022/1/12 23:45,3.813333333,81.25333333,447.4666667,0
2022/1/13 0:00,3.766666667,81.5,450.4,0
2022/1/13 0:15,3.626666667,81.48666667,461.5333333,0
2022/1/13 0:30,3.413333333,81.58666667,471.1333333,0
2022/1/13 0:45,3.24,82.14,470,0
2022/1/13 1:00,3.16,82.02666667,465,0
2022/1/13 1:15,2.92,82.08666667,458.2,0
2022/1/13 1:30,2.84,82.52,461.1333333,0
2022/1/13 1:45,2.833333333,82.46666667,465.4666667,0
2022/1/13 2:00,2.846666667,81.93333333,451,0
2022/1/13 2:15,3.006666667,81.12,461.2,0
2022/1/13 2:30,2.84,80.66,460.4,0
2022/1/13 2:45,2.713333333,80.82,458.4,0
2022/1/13 3:00,2.713333333,80.96,468.6,0
2022/1/13 3:15,2.6,80.21333333,471.8666667,0
2022/1/13 3:30,2.42,79.42,454.8666667,0
2022/1/13 3:45,2.313333333,77.12,447.7333333,0
2022/1/13 4:00,2.353333333,77.06666667,453.6,0
2022/1/13 4:15,2.313333333,77.64666667,458.2,0
2022/1/13 4:30,2.24,77.57333333,459.2,0
2022/1/13 4:45,2.2,77.70666667,459.7333333,0
2022/1/13 5:00,2.36,78.64,475.3333333,0
2022/1/13 5:15,2.226666667,77.69333333,472.0666667,0
2022/1/13 5:30,2.046666667,76.67333333,456.7333333,0
2022/1/13 5:45,1.546666667,76.11333333,445.3333333,0
2022/1/13 6:00,1.153333333,75.64666667,441.3333333,0
2022/1/13 6:15,0.866666667,75.94666667,441.8666667,0
2022/1/13 6:30,0.84,76.44,464.1333333,0
